food items,Carbs,Total Fat,Saturated Fat,Protein,Fiber,Cholesterol,Sodium,Sugar,Potassium,Magnesium,Phosphorus,Vitamin C,Vitamin A,Calcium,Iron,Zinc,Vitamin E,Vitamin K
Apple,25.48,0.364,0.182,0.546,4.368,0,0,18.2,194.74,9.1,20.02,8.372,10.92,0.3276,4.004,10.92,0.182,0.091
Apricot,6.05,0.22,0,0.77,1.1,0,0.55,4.95,142.45,5.5,12.65,5.5,1059.3,0.4895,1.705,7.15,0.2145,0.11
Avocado,2.7,0.6,0.09,0.6,0.6,0,0,0.06,75,8.7,15.6,3,2.1,0.621,6.3,3.6,0.18,0.18
Banana,27.14,0.354,0.118,1.298,3.068,0,1.18,14.16,422.44,31.86,25.96,10.266,1.18,0.118,0.59,5.9,0.354,0.177
Black Chokeberry,17.16,0.715,0,1.43,4.29,0,1.43,4.29,1082.51,41.47,42.9,41.899,1258.4,2.431,1.287,77.22,2.288,1.0868
Blackberries,20.16,1.008,0,2.88,11.52,0,1.44,10.08,335.52,28.8,31.68,30.24,308.16,1.2528,28.512,41.76,0.8928,0.7632
Blueberries,20.72,1.036,0,1.036,3.552,0,1.48,14.8,168.72,10.36,19.24,14.356,79.92,0.8436,28.564,8.88,0.444,0.2368
Cantaloupe,16.08,0.402,0.134,1.072,2.144,0,32.16,14.74,357.78,20.1,22.78,49.178,4531.88,0.067,3.35,12.06,0.268,0.1876
Cherry,16.8,0.42,0,1.4,2.8,0,0,14,242.2,12.6,23.8,9.8,89.6,0.098,2.94,18.2,0.42,0.14
Cranberry,12,0.1,0,0.4,4.6,0,2,4,85,6,13,13.3,60,1.2,5,8,0.25,0.1
Date Palm,4.32,0.048,0,0.192,0.384,0,0,3.84,40.08,3.36,14.88,0.528,35.76,0.012,0.648,4.8,0.216,0.036
Durian,157.95,31.59,10.692,8.748,22.356,0,4.86,65.61,2573.37,221.13,274.59,47.871,106.92,3.5964,6.804,14.58,3.5721,0.6804
Elderberry,26.1,0.725,0,1.015,10.15,0,8.7,14.5,588.7,26.1,43.5,52.2,1261.5,1.45,10.15,55.1,0.725,0.1595
Golden berries,22.4,0.98,0,3.5,7,0,2.8,15.4,793.8,42,71.4,15.4,3500,1.022,42,35,1.82,1.4
Gooseberries,22.5,0.9,0,2.25,9,0,3,12,297,25.5,43.5,41.55,435,0.285,41.55,49.5,0.465,0.435
Grapefruit,16.94,1.694,0,1.232,3.08,0,0,13.86,255.64,16.94,27.72,48.048,177.1,0.2002,0.154,13.86,0.154,0.1078
Grapes,16.56,0.184,0.092,0.644,0.736,0,0.92,13.8,161.92,6.44,18.4,2.944,2.76,0.1748,13.432,9.2,0.276,0.1012
Guava,4.95,0.33,0.11,0.77,1.65,0,1.1,2.75,142.45,7.7,9.35,125.565,343.2,0.4015,1.43,9.9,0.143,0.1265
Jackfruit,39.6,0.99,0.495,2.475,4.29,0,4.95,31.35,739.2,59.4,100.65,22.77,181.5,0.561,5.445,56.1,0.3795,0.693
Jujube,5.67,0.0567,0,0.3402,1.84275,0,0.8505,3.6855,70.875,2.835,6.5205,19.5615,0,0.031185,0.14175,6.5205,0.14175,0.02835
Juniper Berries,0.06,0.006,0,0.006,0.036,0,0,0,0.6,0.12,0.24,1.38,40.2,0.138,3,5.22,0.114,0.048
Kiwi,11.4,1.976,0.304,0.684,1.596,0,2.28,6.84,180.12,9.12,17.48,70.452,66.12,1.1096,30.628,2.28,0.228,0.076
Longan Fruit,28.5,0.19,0,2.47,2.09,0,1.9,26.6,505.4,19,47.5,161.31,0,0.19,0,1.9,0.19,0.19
Lychee,32.3,0.76,0.19,3.04,2.47,0,1.9,28.5,324.9,15.2,58.9,135.85,0,0.19,0,9.5,0.57,0.19
Mango,41.25,0.66,0.165,1.32,4.29,0,1.65,37.95,457.05,29.7,33,60.06,178.2,1.485,6.93,18.15,0.33,0.132
Melon,20.28,0.468,0,2.028,2.184,0,17.16,18.72,421.2,21.84,34.32,57.252,162.24,0.156,9.828,14.04,0.312,0.312
Mulberry,14,0.56,0.14,1.96,3.36,0,5.6,11.2,271.6,25.2,42,50.96,93.8,2.52,0.98,54.6,1.96,0.28
Nectarines,21.3,0.568,0,2.13,3.408,0,0,17.04,404.7,22.72,32.66,7.668,9.94,0.994,3.124,8.52,0.426,0.142
Orange,18.48,16.94,0,1.386,4.774,0,0,13.86,278.74,15.4,21.56,81.928,346.5,0.2772,0,6.16,0.154,0.1232
Papaya,19.6,0.28,0.14,1.26,3.5,0,11.2,15.4,254.8,28,28,85.26,459.2,0.42,2.38,28,0.42,0.14
Passion Fruit,0.72,0.018,0,0.144,0.342,0,0,0.36,12.24,0.9,1.98,5.4,22.86,0.018,0,2.16,0.288,0.018
Pear,26.7,0.178,0,1.068,5.518,0,1.78,17.8,370.24,12.46,28.48,7.654,0,0.178,8.01,16.02,0.356,0.178
Persimmon,52.08,0.672,0.168,1.68,10.08,0,1.68,35.28,453.6,23.52,55.44,12.6,136.08,1.176,4.368,13.44,0.336,0.168
Pineapple,21.45,0.165,0,0.825,2.31,0,3.3,16.5,297,33,21.45,78.87,95.7,0.033,1.155,21.45,0.495,0.198
Plum,7.26,0.198,0,0.462,0.924,0,0,5.94,68.64,3.3,9.24,6.27,227.7,0.198,4.224,3.96,0.132,0.066
Pomegranate,53.58,3.384,0.564,4.794,11.28,0,8.46,36.66,939.06,101.52,101.52,28.764,0,1.692,46.248,28.2,0.846,0.564
Pomelo,28.896,0.301,0,2.408,3.913,0,3.01,19.565,951.16,51.17,72.24,183.61,346.15,0.602,1.505,12.04,0.301,0.301
Rambutan,1.485,0.018,0,0.081,0.162,0,0.18,1.233,6.84,0.9,1.98,0.441,0,0.018,0.009,1.98,0.018,0.009
Raspberry,14.76,0.861,0,1.476,7.995,0,1.23,6.15,228.78,19.68,36.9,32.226,31.98,1.107,9.594,27.06,0.861,0.492
Redberries,14.76,0.861,0,1.722,4.428,0,1.23,4.92,249.69,17.22,34.44,72.324,71.34,0.615,3.075,3.69,0.369,0.123
Rhubarb,6.1,0.244,0,1.098,2.684,0,1.22,1.586,223.26,14.64,24.4,25.62,1250.5,0.122,35.746,104.92,0.244,0.122
Starfruit,5.46,0.182,0,1.274,2.548,0,1.82,3.64,121.03,3.64,10.92,31.304,0,0.273,1.456,27.3,0.364,0.273
Strawberry,16.8,0.7,0,1.4,4.2,0,1.4,9.8,208.6,21,33.6,82.32,16.8,0.406,3.08,22.4,0.574,0.196
Tangerine,11.44,0.264,0,0.704,1.584,0,0,7.92,146.08,7.04,12.32,23.496,599.28,0.176,0.44,32.56,0.088,0.088
Uglifruit,27.3,0.364,0,2.73,6.188,0,0,21.84,535.08,25.48,49.14,103.74,231.14,0.546,0.91,63.7,0.182,0.182
Watermelon,22.88,0.572,0,1.716,1.716,0,5.72,17.16,915.2,40.04,31.46,23.166,1627.34,0.4004,0.286,28.6,0.6864,0.286
Harrd Red Wheat,25,0.8,0.1,4.5,3.6,0,2,1.55,363,138,350,0,0,33,3.93,2.65,0.08,3.6
Soft Red Wheat,25.3,0.9,0.1,3.6,3.5,0,2,1.22,327,110,306,0,0,34,2.16,1.63,0.35,2.6
Hard White Wheat,26,0.8,0.1,4.5,3.6,0,2,0.99,355,139,346,0,0,32,3.6,2.63,0.1,2.2
Soft White Wheat,25.4,0.6,0.1,4.5,3.6,0,2,1.31,354,138,346,0,0,34,2.66,1.97,0.07,2.2
Durum Wheat,25.6,0.6,0.1,4.9,3.9,0,2,1.71,303,144,303,0,0,51,4.57,2.77,0.5,1.9
Einkorn Wheat,70,2.5,0.5,12,9,0,0,1.38,370,32,262,1.7,0,60,4.31,3.06,0.79,1.9
Spelt Wheat,28.2,0.9,0.2,5.8,3.5,0,6,2.43,382,136,401,0,0,44,2.43,1.95,0.47,4.3
Emmer Wheat,28.7,1.7,0.2,6.3,4.7,0,12,1.57,360,97,358,0,0,38,3.63,2.33,0.9,1.8
White Rice,23.8,0.17,0.085,2.295,0.255,0,0.85,0.102,29.75,21.25,97.75,0,0,8.5,0.68,0.5355,0.0425,0.085
Brown Rice,19.975,0.765,0.17,2.21,1.53,0,0.85,0.7225,36.55,37.4,93.5,0,0,8.5,0.68,0.9265,0.1445,1.36
Basmati Rice,79,0.8,0.2,7.3,1.3,0,1,0.12,35,24,79,0,0,5,1.08,0.99,0.08,0.4
Jasmine Rice,28,0.3,0.1,2.7,0.3,0,1,0.03,35,20,73,0,0,3,0.8,0.68,0.11,1.2
Arborio Rice,21.7,0.2,0.1,1.8,0.3,0,4,0.33,50,18,98,0,0,8,1.2,0.7,0.12,0.3
Black Rice,75,3.3,0.7,6.8,3,0,0,6.3,280,143,370,0,0,28,3.5,1.8,0.8,16.3
Red Rice,23.5,0.9,0.2,2.6,1.8,0,4,1.1,257,56,150,0,0,33,1.47,2.15,1.08,1.4
Wild RIce,21.3,0.4,0.1,4,1.8,0,7,0.35,427,44,306,0,0,10,1.44,2.03,1.29,1.9
Dent Corn,39.84,1.66,0.332,4.98,3.32,0,58.1,2.822,476.42,210.82,408.36,0,0,11.62,0.83,0.498,0.166,0
Sweet Corn,27.55,1.45,0.29,4.35,2.9,0,21.75,4.669,391.5,53.65,129.05,9.86,275.5,2.9,0.754,0.3915,0.0435,0.435
Popcorn,18.72,0.96,0.168,3.12,3.84,0,0.48,0.072,59.52,27.36,21.36,0,0,2.4,0.6504,0.2232,0.0696,0
Flint Corn,68.4,3.6,0.45,8.1,6.3,0,9,0.783,258.3,114.3,189,0,0,6.3,2.439,0.414,0.009,0
Flour Corn,12.48,0.16,0,1.44,1.28,0,2.56,0.2992,45.92,20.32,33.6,0,0,1.12,0.4336,0.0736,0.0016,0
Waxy Corn,15.3,0.85,0,2.55,1.7,0,0.85,0.544,230.35,31.45,75.65,0,0,0.85,0.442,0.2295,0.0255,0
Rolled Oats,66,7,1,17,10,0,0,1.07,429,138,180,0,0,54,4.72,1.29,0.45,0
Steel-cut Oats,68,7,1,14,10,0,0,0.99,350,138,180,0,0,54,4.72,1.29,0.45,0
Quick Oats,67,6.5,1,13,10,0,5,0.77,355,110,180,0,0,54,4.72,1.29,0.45,0
Instant Oats,67,6.9,1.2,12,10,0,202,0.76,259,32,89,0,0,11,1.31,0.27,0.11,0
Oat Groats,68,6.5,1,13,10,0,2,1.55,429,139,410,0,0,52,4.72,1.29,0.03,0
Hulled Barley,73,2.3,0.4,10,17,0,12,0.8,280,79,221,0,0,29,1.03,0.67,0.19,1.2
Pearled Barley,77,1.2,0.3,9.9,15.6,0,10,0.8,280,79,221,0,0,29,1.03,0.67,0.19,1.2
Scotch Barley,77.7,2.3,0.5,9.5,15.6,0,12,0,452,79,221,0,0,11,2.5,2.7,0,2.2
Barley Flakes,121.275,3.795,0.825,16.995,25.74,0,4.95,1.32,462,57.75,179.85,0,0,13.2,4.125,2.475,0,2.475
Barley Grits,76,1.3,0.3,8.2,15,0,3,0.8,280,35,109,0,0,8,2.5,1.5,0,1.5
Barley Flour,87.6,2.76,0.48,12.48,18.72,0,1.2,1.68,396,46.8,130.8,0,0,34.8,3,2.4,0,2.64
Purple Barley,87.6,2.4,0.48,14.4,18,0,8.4,0,336,94.8,265.2,0,0,13.2,3.96,3.6,0,3.96
Black Barley,31.44,1.08,0.6,4.2,4.68,0,14.4,0.96,336,159.6,134.4,0,0,33.6,3,2.64,0.96,3
Sprouted Barley,9.768,0.288,0.06,2.376,3.48,0,15.6,1.08,456,142.8,102,1.44,8.4,34.8,3.24,2.64,0.36,2.76
Whole Rye,38.155,0.96,0.14,4.86,7.8,0,3,0.55,167,60.5,175,0.25,0,17,0.9,0.85,0.25,1.35
Rye Flakes,31.095,0.72,0.135,4.23,6.795,0,0.9,0.585,148.5,61.65,139.95,0,0,16.2,1.62,1.53,0.36,0.99
Rye Flour,7.22,0.13,0.02,0.88,1.51,0,0.3,0.16,35,12.1,35,0,0,3.3,0.27,0.16,0.05,0.22
Pumpernickel,61.2,1.92,0.36,9.12,9.36,0,8.4,4.56,384,70.8,192,0,0,18,1.8,1.68,0.48,1.68
Rye Bread,12.8,0.48,0.112,2.24,2.56,0,100.8,1.76,43.84,11.84,23.68,0,0,12.16,0.384,0.224,0.032,0.512
White Quinoa,39.405,3.515,0.37,8.14,5.18,0,9.25,1.665,318.2,118.4,281.2,0,0,31.45,5.18,2.035,2.035,1.11
Red Quinoa,26.625,2.375,0.25,5.5,3.5,0,8.75,1.125,215,80,190,0,0,21.25,3.5,1.375,1.375,0.75
Black Quinoa,28.755,2.565,0.27,5.94,3.78,0,9.45,2.025,232.2,86.4,205.2,0,0,22.95,3.78,1.485,1.485,0.81
Tri-color Quinoa,25.2,2.4,0,4.8,3.36,0,6,4.08,675.6,236.4,548.4,2.04,0,37.2,5.52,3.36,2.88,1.8
Purple Quinoa,21,2,0.2,4,2.8,0,7,1.4,563,197,457,1.1,0,31,4.6,2.8,2.4,1.5
High-altitude Quinoa,33.6,3.2,0,6.4,4,0,11.2,1.44,900.8,315.2,731.2,1.76,0,49.6,7.36,4.48,3.84,2.4
Golden Quinoa,33.6,3.2,0,6.4,4,0,8,5.44,900.8,315.2,731.2,2.72,0,49.6,7.36,4.48,3.84,2.4
Pearl Millet,40.29,2.21,0.51,5.27,2.21,0,28.9,1.36,595,193.8,484.5,0,0,40.8,5.27,3.06,2.89,0
Foxtail Millet,37.8,1.8,0.45,4.8,1.95,0,25.5,0.9,450,94.5,435,0,0,46.5,4.2,2.4,1.2,0
Finger Millet,23,1.3,0.3,3.3,3.5,0,34,0.8,344,114,387,0,0,344,3.9,2.7,1.4,0
Proso Millet,25.3,0.7,0.2,3.5,1.8,0,4,0.7,135,51,112,0,0,8,0.8,0.8,0.2,0
Barnyard Millet,37.758,1.044,0.174,6.264,3.132,0,15.66,2.784,339.3,55.68,509.82,0,0,19.14,11.658,4.872,1.914,0
Kodo Millet,21.66,1.19,0.25,3.3,1.2,0,27,0.9,241,37,293,0,0,27,0.9,0.9,0.1,0
Little Millet,25.2,1.3,0.3,3.6,7.6,0,17,1.4,205,25,211,0,0,17,9.3,2.2,0.2,0
Grain Sorghum,41.4225,0.9975,0.1925,5.88,6.125,0,3.5,3.675,612.5,315,502.25,0,0,49,7.7,2.625,0.7,0
Sweet Sorghum,54.12,1.64,0,6.56,4.92,0,6.56,24.6,557.6,73.8,246,0,32.8,36.08,4.428,1.476,0.164,0
Broomcorn Sorghum,126.82,5.61,1.02,18.02,10.71,0,6.8,19.21,462.4,76.5,256.7,0,0,28.9,5.78,1.53,0.34,0
Black Sorghum,79.31,3.63,0.66,11.44,6.93,0,30.8,0.77,308,81.4,311.3,0,0,30.8,3.63,1.43,0.55,0
White Sorghum,27.5,1.1,0,3.3,3.3,0,2.2,0.66,385,149.6,315.7,0,0,30.8,3.85,1.32,0.55,0
Red Sorghum,25.3,0.66,0.11,3.85,6.6,0,2.2,4.29,366.3,181.5,315.7,0,0,27.5,4.84,1.76,0.22,0
Common Buckwheat,33.4,1.002,0.167,5.678,4.676,0,1.67,5.678,768.2,385.77,579.49,0,0,16.7,4.008,1.837,0.501,0
Tartary Buckwheat,35.0875,1.05,0.245,5.425,5.775,0,0,6.3,404.25,404.25,607.25,0,0,43.75,16.625,2.275,2.625,0
Silverhull Buckwheat,33.898,1.054,0.2023,5.78,4.76,0,3.4,1.53,572.9,392.7,589.9,0,0,40.8,4.08,2.38,0.68,0
Buckwheat Groats,33.83,1.02,0.17,5.78,2.55,0,1.7,5.78,782,392.7,589.9,0,0,17,4.08,1.87,0.51,0
Kasha,18.7,0.6,0.1,3.4,2.8,0,1,0.9,460,231,347,0,0,10,2.4,1.1,0.3,0
Amaranth (Ramdana),19,2,0.5,4,2,0,4,1.6,332,248,557,0,0,159,7.6,2.2,0.9,0.5
Ivory Teff,20.6,0.9,0.2,3.9,2.8,0,12,2.6,427,184,367,0,0,180,7.6,2.1,3.1,0
Brown Teff,27.04,1.17,0.26,5.07,3.64,0,46.8,3.38,555.1,239.2,477.1,0,0,234,9.88,2.73,4.03,0
Mixed Teff,94.9,3.12,0.65,17.29,10.4,0,46.8,3.12,555.1,239.2,477.1,0,0,234,9.88,2.73,4.03,0
Spelt,28.76,0.87,0.14,5.81,3.8,0,7,2.4,246,136,401,0,0,44,3.2,2.4,0.8,0
Kamut,15,0.5,0,3,2.5,0,4,0.5,181.5,67.5,181.5,0,0,17.5,1.35,0.3,0.2,0
Emmer Farro,24.7,1.7,0.3,5.3,4.4,0,4,1.4,370,68,290,0,0,25,4,1.6,0.5,0
Spelt Farro,23.5,0.8,0.1,3.9,3.2,0,7,2.4,246,136,401,0,0,44,3.2,2.4,0.8,0
Bulgur( Dalia),27.9,0.3,0,4.5,6.75,0,4.5,0.15,180,42,75,0,0,16.5,1.2,0.45,0.45,2.4
Hot Chocolate,52.8,14.4,9,15.2,4.8,48,276,46.8,820,94,490,1.8,272,1.5,6.8,500,4.8,1.6
Mulled Wine,32.7,0.15,0,0.15,0.15,0,15,29.25,87,7.5,15,0.75,9,0,0,0,0,0
Affogato,17.52,9.24,5.76,2.64,0,84,44.4,15.6,132,9.6,48,0,406.8,1.32,7.8,93.6,0.48,0.6
Bone broth,1.68,1.92,0.72,15.12,0,24,470.4,1.2,429.6,24,112.8,0,0,0.072,0,16.8,3.12,0.072
Yerba mate,12,1.2,0,1.68,10.56,0,24,0,626.4,120,79.2,0,480,0.984,3.6,48,1.2,0.864
Gluhwein,24.8,0.2,0,0.2,0,0,14,19.8,178,4,24,0,0,0,0,18,0.6,0.08
Bissap,24,0,0,0,0,0,16,0,98,20,32,90,0,0,4,1.2,0.06,0
Horchata,36,4.56,1.2,3.6,1.68,0,60,33.6,199.2,24,192,0,0,1.032,5.28,38.4,2.88,0.624
Spiced cider,36,0.48,0.24,0.24,1.44,0,24,30.96,252,2.4,14.4,10.56,120,0.504,0.96,9.6,0.24,0.192
White hot chocolate,213.5,87.5,52.5,17.5,2.45,210,763,203,1134,252,906.5,0,875,0.7,2.1,651,11.55,1.75
Coconut hot chocolate,185.5,52.5,42,21,7,3.5,395.5,150.5,1578.5,252,742,0.7,262.5,3.85,3.5,822.5,11.55,8.05
Peanut butter hot chocolate,164.5,80.5,42,49,14,80.5,514.5,136.5,1246,427,1001,0,525,3.885,2.1,1428,17.15,3.85
Mint hot chocolate,185.5,73.5,42,24.5,17.5,80.5,528.5,150.5,1459.5,269.5,840,0.35,500.5,2.8,1.75,689.5,13.65,3.15
Iced Tea,1.2,0,0,0.4,0,0,4,0,8,0,4,6.8,4,0.08,2,20,0.8,0.04
Lemonade,48,0,0,0.4,0,0,12,36,168,0,16,18.4,0,0.32,0.4,28,0.4,0.08
Smoothies,63,0.7,0,3.85,5.95,3.5,24.5,52.5,574,42,108.5,94.5,280,2.8,7,164.5,1.75,1.26
Milkshakes,59.5,11.2,7.35,17.85,0.35,56,364,59.5,882,70,637,1.4,514.5,1.4,0.35,581,0.7,1.855
Slushies,96,0,0,0,0,0,45,84,30,3,48,0,0,0.09,0,15,0.6,0.03
Kombucha,7.5,0,0,0,0,0,2.5,5,50,0,10,1.25,0,0.25,0.5,25,0.25,0.1
Iced Coffee,1.4,0,0,1.05,0,0,42,0.7,133,10.5,10.5,0,0,0,0,38.5,0.35,0.07
Frappuccino,99,11.25,7.2,19.8,0,58.5,436.5,90,936,63,553.5,0,711,0.9,0.45,657,1.35,1.71
Soda,37.1,0,0,0,0,0,35,37.1,0,0,0,0,0,0,0,0,0,0
Sparkling Water,0.14,0,0,0.175,0,0,3.5,0.14,0,14,0,0,0,0.035,0,10.5,0,0
Flavored Water,1.75,0,0,0,0,0,7,1.75,0,0,0,0,0,0.035,0.7,7,0,0
Coconut Water,12.985,0.7,0.63,2.52,3.85,0,882,9.135,875,87.5,70,8.4,0,0.35,1.75,84,1.05,0.7
Sports Drinks,34.5,0,0,0.5,0,0,230,34.5,325,5,65,135,540,1.2,1,45,0.2,0.05
Energy Drinks,28.25,0,0,0,0,0,500,25.75,100,10,50,75,0,0.25,1.25,0,1.25,0.25
Protien Shakes,22,38,13.5,390,6.5,1145,3390,18.5,10200,785,7800,0,10200,0.5,0.5,3950,74.5,61
Chai Latte(iced),23.45,1.4,0.7,3.85,0,21,140,23.45,196,42,133,3.5,147,0.7,1.75,140,3.15,1.05
Arnold Palmer,16,0,0,0,0,0,240,16,120,16,16,40,0,0.4,2,40,0.8,0.4
Italian Soda,105,0,0,0,0,0,87.5,105,0,0,0,0,0,0,0,0,0,0
Agua Fresca,32,0,0,0,0,0,60,32,280,32,32,40,0,0.4,6,32,0.8,0.4
Green Smoothies,40,4,0,8,8,0,160,20,1200,60,120,80,2400,2,20,200,2,6
Mango Lassi,63,7,3.5,17.5,0,70,175,52.5,700,87.5,350,105,1750,1.75,17.5,700,5.25,1.75
Cucumber Water,0,0,0,0,0,0,20,0,0,16,16,40,0,0.4,2,80,0.8,0.4
Fruit infused Iced Tea,20,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20
Thai Iced tea,120,12,8,12,0,40,80,100,360,40,80,0,2000,0,40,240,4,0.4
Matcha Latte (iced),42,7,1.75,3.5,3.5,0,210,31.5,525,35,210,3.5,3500,3.5,35,420,1.75,0.35
Peppermint Iced Tea,20,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20
Peach iced Tea,32,0,0,0,0,0,40,32,40,40,40,40,4000,40,40,200,20,0.4
Ginger Beer,28,0,0,0,0,0,28,28,17.5,0,0,0,0,0.525,0.35,0,0.7,0
Limeade,48,0,0,0,0,0,28,36,16,16,16,84,240,0.12,0.4,28,0.4,0.4
Blueberry Smoothie,48,2,0,4,4,16,16,36,272,48,212,44,568,1.44,3.6,88,76,1.6
Vanilla Milkshake,117,36.45,22.95,27.45,0,144,711,112.5,1282.5,112.5,1093.5,0,1804.5,1.035,1.8,949.5,6.3,3.6
Chocolate Milkshake,117,36.45,22.95,27.45,4.05,144,679.5,112.5,1192.5,198,954,0,828,2.475,1.8,2.7,0.45,0
Almond Milkshake,130.5,27,4.5,9,4.5,27,576,112.5,270,126,414,0,0,11.745,0,661.5,4.905,3.78
Cashew Milkshake,103.5,49.5,9,13.5,0,40.5,391.5,67.5,904.5,364.5,562.5,0,0,4.68,0,112.5,8.91,3.015
Rose Water Lemonade,40,0,0,0,0,0,24,36,44,0,0,18.4,400,0,0,20,0.4,0
Mint Lemonande,48,0,0,0,0,0,20,40,52,0,0,14.4,240,0,0,24,0.4,0
Black Iced Tea,1.2,0,0,0,0,0,8,0.8,48,0,0,0,0,0,0,0,0,0.12
White Iced Tea,0.8,0,0,0,0,0,4,0.8,56,0,0,0,0,0,0,0,0,0.04
Rooibos Iced tea,1.2,0,0,0.4,0,0,24,1.2,28,4,4,0,0,0.04,2,44,0,0.04
Broccoli,6.006,0.364,0.091,2.548,2.366,0,30.03,1.547,287.56,19.11,60.06,81.172,566.93,0.7098,92.456,42.77,0.6643,0.5915
Carrots,6.1,0.122,0,0.549,1.708,0,42.09,2.867,195.2,7.32,21.35,3.599,10190.66,0.4026,8.052,20.13,0.183,0.1464
Spinach,1.08,0.12,0.03,0.87,0.66,0,6.9,0.12,167.4,23.7,14.7,8.43,140.7,0.15,43.2,29.7,0.243,0.159
Sweet Potato,22.914,0.114,0,1.824,3.42,0,62.7,4.788,384.18,28.5,53.58,2.736,1044.24,0.2964,2.052,34.2,0.6954,0.342
Tomatoes,4.797,0.246,0,1.107,1.476,0,6.15,3.198,291.51,13.53,29.52,16.851,1024.59,0.6642,9.717,12.3,0.3321,0.2091
Beetroot,13.056,0.272,0.136,2.176,3.808,0,106.08,9.248,442,31.28,54.4,6.664,44.88,0.0544,0.272,21.76,1.088,0.4352
Cabbage,4.06,0.07,0,0.91,1.75,0,12.6,2.24,119,8.4,18.2,25.62,68.6,0.105,53.2,28,0.329,0.126
Cauliflower,5,0.3,0.1,2,2.3,0,30,1.9,299,15,44,48.2,0,0.08,15.5,22,0.42,0.29
